station_name;uf;date;precipitation_mm;temperature_c
MIRANTE;SP;01/01/2018;26.6;23.5
MIRANTE;SP;02/01/2018;0;23.8
MIRANTE;SP;03/01/2018;2.6;21.8
MIRANTE;SP;04/01/2018;12.4;22.5
MIRANTE;SP;05/01/2018;0;22.1
MIRANTE;SP;06/01/2018;0;22.7
MIRANTE;SP;07/01/2018;8.8;18.4
MIRANTE;SP;08/01/2018;31;19.2
MIRANTE;SP;09/01/2018;9.8;20.6
MIRANTE;SP;10/01/2018;1.2;22.2
MIRANTE;SP;11/01/2018;18.2;22.9
MIRANTE;SP;12/01/2018;20.8;21.6
MIRANTE;SP;13/01/2018;.6;21.7
MIRANTE;SP;14/01/2018;1;22.9
MIRANTE;SP;15/01/2018;6.2;24
MIRANTE;SP;16/01/2018;.8;24.2
MIRANTE;SP;17/01/2018;5.8;24.9
MIRANTE;SP;18/01/2018;0;26.2
MIRANTE;SP;19/01/2018;12.4;23.6
MIRANTE;SP;20/01/2018;2;22.6
MIRANTE;SP;21/01/2018;21.6;22.8
MIRANTE;SP;22/01/2018;9.4;25.1
MIRANTE;SP;23/01/2018;4.2;24.5
MIRANTE;SP;24/01/2018;4.8;25.1
MIRANTE;SP;25/01/2018;0;24.3
MIRANTE;SP;26/01/2018;0;21.9
MIRANTE;SP;27/01/2018;.8;21.1
MIRANTE;SP;28/01/2018;0;23.3
MIRANTE;SP;29/01/2018;2.8;23.1
MIRANTE;SP;30/01/2018;36.2;19.1
MIRANTE;SP;31/01/2018;16.8;20.6
MIRANTE;SP;01/02/2018;.2;21.6
MIRANTE;SP;02/02/2018;0;21.8
MIRANTE;SP;03/02/2018;0;21
MIRANTE;SP;04/02/2018;0;20.1
MIRANTE;SP;05/02/2018;0;20.7
MIRANTE;SP;06/02/2018;.2;20.4
MIRANTE;SP;07/02/2018;0;22.6
MIRANTE;SP;08/02/2018;0;23
MIRANTE;SP;09/02/2018;1.4;25.5
MIRANTE;SP;10/02/2018;0;24.3
MIRANTE;SP;11/02/2018;11.4;24.9
MIRANTE;SP;12/02/2018;.2;25.6
MIRANTE;SP;13/02/2018;2;20.4
MIRANTE;SP;14/02/2018;.2;19.4
MIRANTE;SP;15/02/2018;1.6;20.1
